"Name","Institution","Country","Level","Type","URL"
"Social Data Science", "University of Oxford", "GB", "Postgraduate", "Programme", "https://www.ox.ac.uk/admissions/graduate/courses/msc-social-data-science"
"Data Science and Society", "Tilburg University", "NL", "Postgraduate", "Programme", "https://www.tilburguniversity.edu/education/masters-programs/data-science-and-society"
"Social Data Science", "University of Copenhagen", "DK", "Postgraduate", "Programme", "https://studies.ku.dk/masters/social-data-science/"
"Data Analytics and Society", "University of Leeds", "GB", "Postgraduate", "Programme", "https://lida.leeds.ac.uk/study-training/datacdt/#:~:text=Data%20Analytics%20and%20Society%20is,University%20of%20Manchester"
"Applied Social Data Science", "London School of Economics", "GB", "Postgraduate", "Programme", "https://www.lse.ac.uk/study-at-lse/Graduate/degree-programmes-2024/MSc-Applied-Social-Data-Science"
"Behavioural Data Science", "University of Amsterdam", "NL", "Postgraduate", "Programme", "https://www.uva.nl/en/programmes/masters/psychology-behavioural-data-science/behavioural-data-science.html?origin=i1llwfizQ9KxDJFkz026yg&fbclid=IwAR3UErlRQ__Cz8S15e7fcbJ6UWpGUfC1_gRQ484ZMp3l6WyW1BS1E9TO2Do&cb"
"Social and Economic Data Science", "University of Konstanz", "DE", "Postgraduate", "Programme", "https://www.polver.uni-konstanz.de/studium/master/master-social-and-economic-data-science/"
"Social Data Science", "University of Essex", "GB", "Postgraduate", "Programme", "https://www.essex.ac.uk/courses/pg01314/1/msc-social-data-science"
"Social Data Science", "University of Essex", "GB", "Postgraduate", "Programme", "https://www.essex.ac.uk/courses/pg01314/1/msc-social-data-science"
"Social Data Science", "Central European University", "AT", "Postgraduate", "Programme", "https://networkdatascience.ceu.edu/msc-social-data-science"
"Social Data Science", "University College Dublin", "IR", "Postgraduate", "Programme", "https://hub.ucd.ie/usis/!W_HU_MENU.P_PUBLISH?p_tag=PROG&MAJR=W559"
"Human and Social Data Science", "University of Sussex", "GB", "Postgraduate", "Programme", "https://www.sussex.ac.uk/study/masters/courses/human-and-social-data-science-msc"
"Social Data Science", "University of Exeter", "GB", "Postgraduate", "Programme", "https://www.exeter.ac.uk/study/postgraduate/courses/politics/socialdatasciencemsc/"
"Social Data Analytics", "Brown University", "US", "Postgraduate", "Programme", "https://www.brown.edu/academics/sociology/programs/masters-scm-program-social-data-analytics"
"Data Science (Social Analytics)", "The University of Manchester", "GB", "Postgraduate", "Programme", "https://www.manchester.ac.uk/study/masters/courses/list/11424/msc-data-science-social-analytics/"
"Social and Geographic Data Science", "University College London", "GB", "Postgraduate", "Programme", "https://www.ucl.ac.uk/prospective-students/graduate/taught-degrees/social-and-geographic-data-science-msc"
"Quantitative Analysis and Social data Science", "KU Leuven", "BE", "Postgraduate", "Programme", "https://soc.kuleuven.be/fsw/toekomstigestudenten/english/mos/datascience"
"Data Analytics and Computational Social Science", "UMassAmherst", "US", "Postgraduate", "Programme", "https://www.umass.edu/social-sciences/academics/ms-dacss"
"Social Data Analytics", "Hong Kong University", "CN", "Postgraduate", "Programme", "https://admissions.hku.hk/tpg/programme/master-social-sciences-field-social-data-analytics"
"Social Data Science", "Aalborg University", "DK", "Postgraduate", "Programme", "https://www.en.aau.dk/education/guest-exchange/social-data-science"
"Social Data Analytics", "Pennsylvania State University", "US", "Postgraduate", "Programme", "https://soda.la.psu.edu/programs/graduate-program/"
"Social Data Science", "University of Maryland", "US", "Postgraduate", "Programme", "https://sdsc.umd.edu/"
"Applied Statistics for Social Science Research", "NYU Steinhardt", "US", "Postgraduate", "Programme", "https://steinhardt.nyu.edu/degree/ms-applied-statistics-social-science-research"
"Data Science for Public Policy", "Hertie School", "DE", "Postgraduate", "Programme", "https://www.hertie-school.org/en/mds?gad_source=5&cHash=5ce5e32b395928148bf8bda4f820a811"
"Data Science (Social Analytics)", "Durham University", "GB", "Postgraduate", "Programme", "https://www.durham.ac.uk/study/courses/master-of-data-science-social-analytics-g5p423/"
"Data Science for Social Sciences", "Toulouse School of Economics", "FR", "Postgraduate", "Programme", "https://www.tse-fr.eu/master-data-science-social-sciences"
"Social Data Science", "Arizona State University", "US", "Postgraduate", "Programme", "https://asuonline.asu.edu/online-degree-programs/graduate/social-data-science/"

















